GEOID,State,EDCost,PMPM,ED,HO,PO,WhitePop,BlackPop,OtherPop,HealthyPop,ChronicPop,ComplexPop,Unemployment,Income,Poverty,Education,Urbanicity,Accessibility,Availability,RankingsPCP,RankingsFood,RankingsHousing,RankingsExercise,RankingsSocial,ProvDensity
37063002021,NC,170343.9069,2243,2394,39,682,15.30155789,67.21616966,17.48227245,51.98714273,13.66231344,34.35054383,6.6,41831,2.7,67.4,Urban,8.311414,0.15,120.8692574,7,18,86,10.7,1.554
37063002009,NC,245172.9064,2997,3675,62,796,11.3955929,69.88623007,18.71817703,51.51367543,13.30672547,35.17959909,14.7,43783,16.8,17.8,Urban,3.18611234,0.15,120.8692574,7,18,86,10.7,1.557
37063002008,NC,229659.7818,2838,3508,40,778,12.63284864,71.43166582,15.93548554,49.11747559,13.76551147,37.11701295,3.7,141196,0.9,80.7,Urban,4.143989515,0.15,120.8692574,7,18,86,10.7,1.5622
37063002023,NC,101631.7149,1356,1411,23,420,15.74434918,66.91348402,17.3421668,52.04081633,13.70262391,34.25655977,5.2,61695,0,66.5,Urban,8.46035,0.15,120.8692574,7,18,86,10.7,1.5556
37063002026,NC,209780.1591,2798,2913,47,868,15.74434918,66.91348402,17.3421668,52.04081633,13.70262391,34.25655977,9.3,39409,4.5,36.5,Urban,4.692358144,0.15,120.8692574,7,18,86,10.7,1.5484
37063002013,NC,146223.7281,1950,2031,33,605,15.74434918,66.91348402,17.3421668,52.04081633,13.70262391,34.25655977,7,71150,5.1,54.6,Urban,9.291776253,0.15,120.8692574,7,18,86,10.7,1.54
37063002020,NC,225742.4901,3011,3135,51,934,15.74434918,66.91348402,17.3421668,52.04081633,13.70262391,34.25655977,2.9,127468,4.5,81,Urban,5.980298555,0.15,120.8692574,7,18,86,10.7,1.54
37063002024,NC,216882.664,2893,3012,49,897,15.74434918,66.91348402,17.3421668,52.04081633,13.70262391,34.25655977,3,80866,0.7,77.4,Urban,8.839508,0.15,120.8692574,7,18,86,10.7,1.5556
37063002025,NC,175658.8486,2343,2439,39,727,15.74434918,66.91348402,17.3421668,52.04081633,13.70262391,34.25655977,6.3,61753,4.8,56.5,Urban,6.66430758,0.15,120.8692574,7,18,86,10.7,1.5484
37063002022,NC,172290.6508,2298,2392,39,713,15.74434918,66.91348402,17.3421668,52.04081633,13.70262391,34.25655977,9.5,48802,10.2,57.2,Urban,8.223903132,0.15,120.8692574,7,18,86,10.7,1.5556
37127010200,NC,573359.9858,7928,7703,131,4657,23.60588987,70.2309756,6.163134532,40.32019018,12.39419575,47.28561407,26.3,27976,24.5,3.4,Urban,9.920227379,0.58618264,60.60099469,6,14,54,11.8,0.7062
37065020200,NC,1320905.231,18091,17548,294,9454,12.1773033,83.69659664,4.126100063,41.27648746,12.37567691,46.34783563,22,23698,24.2,5.9,Urban,10.45411603,0.531688036,26.80773493,5,20,31,12.5,0.7208
37065021400,NC,407099.1871,5423,5304,90,2780,21.44714507,74.1592139,4.393641029,44.23065949,12.5422376,43.22710291,10,43425,12.8,8.5,Urban,14.95090001,0.667948815,26.80773493,5,20,31,12.5,0.8924
37065020400,NC,728213.4168,9642,9612,161,4769,13.21812237,82.97524521,3.806632415,45.34177883,11.90287675,42.75534442,21.8,27429,22.9,11.9,Urban,10.51156192,0.669835314,26.80773493,5,20,31,12.5,0.7231
37065020300,NC,676436.7754,8956,8929,150,4430,13.21812237,82.97524521,3.806632415,45.34177883,11.90287675,42.75534442,14.9,37010,24.2,12.4,Urban,8.336546041,0.558375411,26.80773493,5,20,31,12.5,0.7299
37127010502,NC,595719.3256,7997,7825,126,4404,28.31858851,62.31675335,9.364658138,42.34825206,13.99853007,43.65321787,7.8,41236,5.3,27,Urban,0.627669693,0.898316586,60.60099469,6,14,54,11.8,0.7135
37127011200,NC,459617.5116,6269,6029,102,3653,30.97832188,62.03114301,6.990535106,40.39737144,12.96045306,46.6421755,5.7,51280,11.5,18.9,Urban,10.68337594,0.564980195,60.60099469,6,14,54,11.8,0.6864
37127011101,NC,381780.7887,5482,5031,84,3168,33.62298998,57.16291656,9.214093455,41.04296001,13.73467057,45.22236942,5.5,64773,5,24.6,Urban,9.56580917,0.382100333,60.60099469,6,14,54,11.8,0.7113
37127010300,NC,707158.6052,9785,9503,161,5760,23.71237458,70.10033445,6.18729097,40.26871401,12.39923225,47.33205374,12.3,38705,25,16.5,Urban,9.726288143,0.821469015,60.60099469,6,14,54,11.8,0.7034
37127010400,NC,268406.6621,3597,3521,57,1973,28.51761318,61.98044143,9.50194539,42.43810446,14.06763231,43.49426322,15.4,26175,21.8,15.1,Urban,2.128366962,0.516758314,60.60099469,6,14,54,11.8,0.7115
37127010504,NC,589742.3981,8044,7840,130,4592,26.22463125,65.8551227,7.920246054,41.40290652,13.27149886,45.32559462,12.2,50234,10.5,34.2,Urban,7.972460356,0.340458981,60.60099469,6,14,54,11.8,0.7116
37195001300,NC,371022.314,4605,4405,74,2548,50.776955,41.16285584,8.060189163,39.33934085,14.71711203,45.94354711,15.8,41995,16.1,9.3,Suburban,17.19863424,0.742670888,40.30928213,6,20,62,11.2,0.7291
37127010700,NC,279016.5265,4744,3792,56,2448,20.93813066,72.30994212,6.751927222,38.67093442,13.53540815,47.79365743,14.2,41961,6.8,12.2,Urban,17.58683464,0.767008423,60.60099469,6,14,54,11.8,0.7058
37127010503,NC,223434.8789,2990,2928,47,1634,28.67262088,61.71850939,9.608869726,42.5080848,14.12145167,43.37046353,10.4,59620,11.7,32.5,Urban,0.593757,0.15,60.60099469,6,14,54,11.8,0.7183
37127010800,NC,488332.4031,7589,6395,95,4017,26.55117569,65.57858849,7.870235826,40.1710491,13.85179315,45.97715775,5.4,63270,10.2,28,Urban,7.723605262,0.288189353,60.60099469,6,14,54,11.8,0.7179
37127010601,NC,182837.2964,2447,2396,38,1338,28.67262088,61.71850939,9.608869726,42.5080848,14.12145167,43.37046353,7,60027,0,27.9,Urban,8.144185571,0.93332766,60.60099469,6,14,54,11.8,0.7183
37127011102,NC,547846.7406,8480,7231,126,5122,40.93700214,49.80112401,9.261873841,39.49092286,13.51090014,46.99817699,15.1,50538,14.5,16.9,Urban,8.662212061,0.61444854,60.60099469,6,14,54,11.8,0.7113
37127010602,NC,390566.5404,5227,5118,82,2857,28.67262088,61.71850939,9.608869726,42.5080848,14.12145167,43.37046353,12.4,48951,6.7,28,Urban,10.33925697,0.738727109,60.60099469,6,14,54,11.8,0.7183
37013930800,NC,148209.5648,3034,2629,45,1619,37.91104917,54.87786375,7.211087083,44.80647147,15.18559855,40.00792998,17.3,52726,14.3,8.6,Rural,18.06218095,0.801633223,50.5188709,7,16,30,14.5,0.9332
37127011300,NC,310935.1142,4423,3874,69,2615,44.23645958,42.38584423,13.37769619,44.50820631,13.0877812,42.40401249,8.6,46307,9.2,5.5,Urban,11.83388837,0.577009891,60.60099469,6,14,54,11.8,0.6468
37195001400,NC,221820.36,3266,2836,54,1777,38.23751402,48.96579161,12.79669436,50.13688755,12.51862491,37.34448754,7,65838,6.8,36.7,Suburban,10.16956985,0.702349143,40.30928213,6,20,62,11.2,0.6959
37095920100,NC,352459.8994,6894,4270,96,4004,40.05472174,53.71013471,6.235143551,36.08976167,14.9559948,48.95424353,8.2,40753,28.6,10.7,Rural,25,1,17.067759,4,15,65,10.2,0.3333
37127010900,NC,480614.5849,7542,6263,101,4418,37.59061195,53.67816634,8.73122171,39.71857305,13.53206079,46.74936617,7.5,41604,10,7.3,Urban,22.5080815,0.928283206,60.60099469,6,14,54,11.8,0.661
37195001200,NC,297387.5501,4352,3683,68,2276,32.81018764,58.47399611,8.715816254,42.4629272,13.05423279,44.48284001,12.8,39194,19.3,9.3,Suburban,11.60657585,0.597581488,40.30928213,6,20,62,11.2,1.0009
37195000700,NC,752283.9733,11834,9485,172,6190,20.21893641,71.15131477,8.629748819,39.66474606,11.94477256,48.39048139,24.2,18735,37.7,7,Suburban,9.46472163,0.545440093,40.30928213,6,20,62,11.2,0.8029
37195000600,NC,536842.8469,8299,6762,131,4286,29.31844872,60.05381752,10.62773376,46.54546116,12.46353848,40.99100037,13.3,40600,13.6,29.3,Suburban,9.021216664,0.65924666,40.30928213,6,20,62,11.2,0.7402
37083930900,NC,719447.865,13607,9841,186,6832,5.515240276,88.66665856,5.818101165,35.96753512,15.02436878,49.0080961,23,26942,28.7,8.9,Rural,19.13663085,0.820218495,55.5493834,5,20,44,12.2,0.7475
37083930600,NC,314550.5571,5604,4954,77,2732,31.33288195,62.90501017,5.762107887,39.83715057,14.29826745,45.86458197,19.4,31092,21.8,12.3,Suburban,3.820556,0.15,55.5493834,5,20,44,12.2,0.5683
37083930800,NC,829745.6263,14520,12025,188,7649,5.872565431,66.20184006,27.92559451,34.82568735,15.52361173,49.65070093,12.4,28821,18.4,4.6,Urban,25,1,55.5493834,5,20,44,12.2,0.7049
